battery_id,discharge_cycle,cycle_index,ambient_temp_C,capacity_Ahr,avg_voltage_V,min_voltage_V,max_voltage_V,avg_temp_C,max_temp_C,cycle_duration_s
B0005,1,1,24,1.8564874208181574,3.5298286688693397,2.612467347907089,4.191491807505295,32.572328114029,38.98218133148803,3690.234
B0005,2,3,24,1.846327249719927,3.5373201277859714,2.587208728940726,4.189773213846608,32.72523522519307,39.033397966787035,3672.344
B0005,3,5,24,1.8353491942234077,3.5437367282719,2.6519168938437794,4.188186735991303,32.64286193755933,38.818796689817404,3651.641
B0005,4,7,24,1.8352625275821128,3.5436661072601456,2.592947964776547,4.188461118855572,32.51487646204882,38.7623045063458,3631.563
B0005,5,9,24,1.8346455082120419,3.5423432526672167,2.547419651124539,4.188298524761055,32.38234901543077,38.66539257343368,3629.172
B0005,6,11,24,1.8356616600675495,3.5413347346347575,2.5209480504077413,4.188815807948604,32.43418218230641,38.75169504640032,3652.281
B0005,7,13,24,1.8351461429226603,3.5410250495075215,2.487927319492314,4.18839163793879,32.480416444757985,38.8207012322275,3650.828
B0005,8,15,24,1.8257567905665537,3.554133296801584,2.6652049047458775,4.188927891511958,32.41046186109587,38.51713023385634,3572.453
B0005,9,17,24,1.8247738529891333,3.5529355991467955,2.6038584726333673,4.189029250882121,32.3461408313,38.526267904657,3550.594
B0005,10,19,24,1.824613268496936,3.5512057319376997,2.552853984885676,4.189223427076418,32.27679750791685,38.52698128472781,3551.25
B0005,11,21,24,1.8246195526864504,3.549292319740949,2.4724483018527317,4.188916055911241,32.15709350345252,38.54143406601644,3530.25
B0005,12,24,24,1.8142019357673917,3.559759220648976,2.64956413267546,4.189876247266316,32.36407129853099,38.52197451768004,3491.016
B0005,13,26,24,1.8137521577549054,3.558081969139198,2.5724981777366227,4.189286794768804,32.3181954403762,38.582485834057856,3470.281
B0005,14,28,24,1.8134404914735822,3.555692244172496,2.5249886697730286,4.188837765892728,32.15709029211502,38.520294134873915,3470.0
B0005,15,30,24,1.8025980036306504,3.562746818017503,2.694621861688723,4.189110301768517,32.04407000314609,38.21358592965045,3450.297
B0005,16,32,24,1.80210690024615,3.5614521756489204,2.64010141737067,4.18921207304098,31.931593674911532,38.1983618706913,3429.407
B0005,17,34,24,1.802579500826209,3.5603420474985823,2.5739035098380962,4.188899969428112,31.941655359029298,38.31926916027133,3409.484
B0005,18,36,24,1.8030683142834096,3.5591189041401865,2.4942396831720126,4.188779799856791,31.965008645476725,38.4787542519308,3390.422
B0005,19,38,24,1.8027776247196041,3.557886771846508,2.4556793246645583,4.189272591516219,31.966241678512723,38.54659017774874,3390.281
B0005,20,41,24,1.8470259949329193,3.5520375235511907,2.632142800798914,4.187614060563439,32.37143341978575,38.44749852224995,3591.734
B0005,21,45,24,1.847417311283644,3.5525668436897124,2.5027764692056795,4.1876287811083985,32.70024990461686,38.992275791716615,3552.297
B0005,22,49,24,1.8361774213478947,3.556794038327039,2.617507742871704,4.187447226312926,32.32266411829938,38.51424197364312,3531.578
B0005,23,53,24,1.8257807475776242,3.5614100044534203,2.694074478000972,4.187344026387161,31.98795810666763,38.165816144899125,3492.907
B0005,24,57,24,1.8251136435078368,3.5566107947817986,2.6237674644021887,4.187438187636325,31.894456524691385,38.16526203587147,3511.594
B0005,25,61,24,1.8255815042203762,3.5586742170266272,2.5010798299873738,4.18774138117799,31.78039681801023,38.27549578575718,3431.9370000000054
B0005,26,65,24,1.8140311275083907,3.564103182686905,2.6849988185249796,4.188261122540052,31.688747146342205,37.982160799183106,3431.125
B0005,27,69,24,1.8147691941158939,3.559588063594272,2.547109116468133,4.187338767288234,31.596747992569153,38.11100191887773,3412.406
B0005,28,73,24,1.813969388710352,3.556833231052199,2.471314764334132,4.187560306288175,31.565586498787077,38.18831137948753,3410.688
B0005,29,77,24,1.802765665167823,3.5624410850948944,2.6613903306108773,4.18805176248713,31.59124667045208,37.998541119085836,3410.718
B0005,30,81,24,1.804077040117352,3.5591407106855666,2.541762355407921,4.187667484260542,31.603485399391182,38.194201649765226,3392.719
B0005,31,85,24,1.8518025516704486,3.5573161327793144,2.628919415830567,4.2010701773378685,31.91556385491565,38.45796400011448,3470.672
B0005,32,89,24,1.8307038456739428,3.561870782772737,2.6312552691827045,4.1996223345495824,32.081128118597164,38.49126351534004,3414.109
B0005,33,93,24,1.8199041089501267,3.5617586337260088,2.654880745360911,4.199853323702163,31.849792632896243,38.31473393357882,3395.219
B0005,34,97,24,1.8093079637028517,3.5597307651083123,2.6749688422803803,4.199103467081427,31.465690433362017,37.861934640176806,3386.0
B0005,35,101,24,1.80460990458052,3.5575937553540915,2.6159705726789904,4.199998536865001,31.40934895665031,37.90665575786083,3368.187
B0005,36,105,24,1.7993770651972192,3.5597237883937995,2.658447162110498,4.19967522099872,31.902247475518077,38.34003238560517,3368.266
B0005,37,109,24,1.7884432335370462,3.559061771422033,2.6979426084271156,4.1991847248803165,31.649024294808623,38.0745950590744,3358.719
B0005,38,113,24,1.7829230484252723,3.557015527748059,2.6617272246516333,4.200012480335,31.48874626238971,38.07252758016199,3339.5
B0005,39,117,24,1.7730337158018288,3.5562481933590964,2.699288287625812,4.1992373656547874,31.329995610092634,37.80133585100446,3331.265
